group,asset,filename,source_bbox,width,height,source
01_header,back_arrow,01_header/back_arrow.png,"[35, 78, 106, 142]",71,64,direct crop from supplied 853x1844 reference
01_header,notification_bell,01_header/notification_bell.png,"[610, 55, 690, 135]",80,80,direct crop from supplied 853x1844 reference
01_header,notification_badge,01_header/notification_badge.png,"[650, 68, 686, 104]",36,36,direct crop from supplied 853x1844 reference
01_header,profile_avatar,01_header/profile_avatar.png,"[687, 58, 771, 148]",84,90,direct crop from supplied 853x1844 reference
01_header,status_bar_reference,01_header/status_bar_reference.png,"[0, 0, 853, 70]",853,70,direct crop from supplied 853x1844 reference
01_header,header_reference,01_header/header_reference.png,"[25, 55, 810, 155]",785,100,direct crop from supplied 853x1844 reference
02_wallet_hero,wallet_hero_full,02_wallet_hero/wallet_hero_full.png,"[35, 161, 758, 382]",723,221,direct crop from supplied 853x1844 reference
02_wallet_hero,wallet_balance_text_reference,02_wallet_hero/wallet_balance_text_reference.png,"[55, 190, 390, 365]",335,175,direct crop from supplied 853x1844 reference
02_wallet_hero,wallet_data_shopping_illustration,02_wallet_hero/wallet_data_shopping_illustration.png,"[430, 160, 750, 380]",320,220,direct crop from supplied 853x1844 reference
02_wallet_hero,wallet_eye_icon,02_wallet_hero/wallet_eye_icon.png,"[225, 198, 255, 223]",30,25,direct crop from supplied 853x1844 reference
03_networks,mtn_network_card,03_networks/mtn_network_card.png,"[39, 442, 273, 559]",234,117,direct crop from supplied 853x1844 reference
03_networks,mtn_logo,03_networks/mtn_logo.png,"[110, 458, 207, 507]",97,49,direct crop from supplied 853x1844 reference
03_networks,network_selected_check,03_networks/network_selected_check.png,"[241, 438, 274, 471]",33,33,direct crop from supplied 853x1844 reference
03_networks,telecel_network_card,03_networks/telecel_network_card.png,"[282, 442, 516, 559]",234,117,direct crop from supplied 853x1844 reference
03_networks,telecel_logo,03_networks/telecel_logo.png,"[337, 465, 462, 511]",125,46,direct crop from supplied 853x1844 reference
03_networks,airteltigo_network_card,03_networks/airteltigo_network_card.png,"[526, 442, 758, 559]",232,117,direct crop from supplied 853x1844 reference
03_networks,airteltigo_logo,03_networks/airteltigo_logo.png,"[573, 468, 712, 507]",139,39,direct crop from supplied 853x1844 reference
03_networks,network_selection_reference,03_networks/network_selection_reference.png,"[30, 405, 770, 566]",740,161,direct crop from supplied 853x1844 reference
04_contact_details,contact_details_panel,04_contact_details/contact_details_panel.png,"[38, 606, 758, 758]",720,152,direct crop from supplied 853x1844 reference
04_contact_details,phone_icon,04_contact_details/phone_icon.png,"[64, 626, 111, 681]",47,55,direct crop from supplied 853x1844 reference
04_contact_details,contact_person_icon,04_contact_details/contact_person_icon.png,"[686, 625, 729, 671]",43,46,direct crop from supplied 853x1844 reference
04_contact_details,location_pin_icon,04_contact_details/location_pin_icon.png,"[64, 693, 108, 744]",44,51,direct crop from supplied 853x1844 reference
04_contact_details,dropdown_chevron,04_contact_details/dropdown_chevron.png,"[702, 704, 730, 730]",28,26,direct crop from supplied 853x1844 reference
05_data_plan_tabs,most_popular_tab,05_data_plan_tabs/most_popular_tab.png,"[39, 812, 219, 863]",180,51,direct crop from supplied 853x1844 reference
05_data_plan_tabs,daily_tab,05_data_plan_tabs/daily_tab.png,"[224, 812, 330, 863]",106,51,direct crop from supplied 853x1844 reference
05_data_plan_tabs,weekly_tab,05_data_plan_tabs/weekly_tab.png,"[336, 812, 458, 863]",122,51,direct crop from supplied 853x1844 reference
05_data_plan_tabs,monthly_tab,05_data_plan_tabs/monthly_tab.png,"[463, 812, 594, 863]",131,51,direct crop from supplied 853x1844 reference
05_data_plan_tabs,night_plans_tab,05_data_plan_tabs/night_plans_tab.png,"[598, 812, 758, 863]",160,51,direct crop from supplied 853x1844 reference
05_data_plan_tabs,data_plan_tabs_reference,05_data_plan_tabs/data_plan_tabs_reference.png,"[35, 800, 765, 870]",730,70,direct crop from supplied 853x1844 reference
05_data_plan_tabs,fire_icon,05_data_plan_tabs/fire_icon.png,"[59, 825, 80, 851]",21,26,direct crop from supplied 853x1844 reference
06_data_plans,1gb_daily_plan_selected,06_data_plans/1gb_daily_plan_selected.png,"[38, 875, 757, 957]",719,82,direct crop from supplied 853x1844 reference
06_data_plans,2gb_weekly_plan,06_data_plans/2gb_weekly_plan.png,"[38, 967, 757, 1052]",719,85,direct crop from supplied 853x1844 reference
06_data_plans,5gb_monthly_plan,06_data_plans/5gb_monthly_plan.png,"[38, 1061, 757, 1146]",719,85,direct crop from supplied 853x1844 reference
06_data_plans,10gb_monthly_plan,06_data_plans/10gb_monthly_plan.png,"[38, 1155, 757, 1240]",719,85,direct crop from supplied 853x1844 reference
06_data_plans,clock_icon_selected,06_data_plans/clock_icon_selected.png,"[208, 894, 236, 922]",28,28,direct crop from supplied 853x1844 reference
06_data_plans,radio_selected,06_data_plans/radio_selected.png,"[697, 895, 729, 927]",32,32,direct crop from supplied 853x1844 reference
06_data_plans,radio_unselected,06_data_plans/radio_unselected.png,"[697, 986, 729, 1018]",32,32,direct crop from supplied 853x1844 reference
07_summary_checkout,summary_panel,07_summary_checkout/summary_panel.png,"[38, 1295, 757, 1382]",719,87,direct crop from supplied 853x1844 reference
07_summary_checkout,buy_now_button,07_summary_checkout/buy_now_button.png,"[43, 1383, 751, 1465]",708,82,direct crop from supplied 853x1844 reference
07_summary_checkout,shopping_cart_icon,07_summary_checkout/shopping_cart_icon.png,"[69, 1400, 123, 1454]",54,54,direct crop from supplied 853x1844 reference
07_summary_checkout,checkout_arrow_icon,07_summary_checkout/checkout_arrow_icon.png,"[681, 1399, 734, 1453]",53,54,direct crop from supplied 853x1844 reference
08_security_features,security_features_bar,08_security_features/security_features_bar.png,"[38, 1485, 758, 1573]",720,88,direct crop from supplied 853x1844 reference
08_security_features,secure_payment_icon,08_security_features/secure_payment_icon.png,"[68, 1505, 109, 1548]",41,43,direct crop from supplied 853x1844 reference
08_security_features,instant_delivery_icon,08_security_features/instant_delivery_icon.png,"[304, 1505, 346, 1548]",42,43,direct crop from supplied 853x1844 reference
08_security_features,support_headset_icon,08_security_features/support_headset_icon.png,"[552, 1505, 598, 1549]",46,44,direct crop from supplied 853x1844 reference
09_bottom_navigation,bottom_navigation_bar,09_bottom_navigation/bottom_navigation_bar.png,"[0, 1573, 853, 1844]",853,271,direct crop from supplied 853x1844 reference
09_bottom_navigation,home_nav_icon,09_bottom_navigation/home_nav_icon.png,"[82, 1624, 130, 1676]",48,52,direct crop from supplied 853x1844 reference
09_bottom_navigation,wallet_nav_icon,09_bottom_navigation/wallet_nav_icon.png,"[235, 1625, 281, 1674]",46,49,direct crop from supplied 853x1844 reference
09_bottom_navigation,buy_data_nav_active,09_bottom_navigation/buy_data_nav_active.png,"[356, 1580, 492, 1721]",136,141,direct crop from supplied 853x1844 reference
09_bottom_navigation,wifi_icon_active,09_bottom_navigation/wifi_icon_active.png,"[374, 1595, 444, 1660]",70,65,direct crop from supplied 853x1844 reference
09_bottom_navigation,transactions_nav_icon,09_bottom_navigation/transactions_nav_icon.png,"[522, 1624, 570, 1675]",48,51,direct crop from supplied 853x1844 reference
09_bottom_navigation,profile_nav_icon,09_bottom_navigation/profile_nav_icon.png,"[676, 1624, 728, 1676]",52,52,direct crop from supplied 853x1844 reference
10_section_references,select_network_section,10_section_references/select_network_section.png,"[30, 405, 770, 570]",740,165,direct crop from supplied 853x1844 reference
10_section_references,enter_details_section,10_section_references/enter_details_section.png,"[30, 575, 770, 765]",740,190,direct crop from supplied 853x1844 reference
10_section_references,choose_data_plan_section,10_section_references/choose_data_plan_section.png,"[30, 770, 770, 1250]",740,480,direct crop from supplied 853x1844 reference
10_section_references,summary_section,10_section_references/summary_section.png,"[30, 1260, 770, 1470]",740,210,direct crop from supplied 853x1844 reference
10_section_references,full_data_bundle_screen,10_section_references/full_data_bundle_screen.png,"[0, 0, 853, 1844]",853,1844,direct crop from supplied 853x1844 reference
